question_code,RBC,RBC名前,environment,body_statement,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,answer,comment
107P098,546,認知症総論,Aさん（87歳，男性）．3年前にAlzheimer〈アルツハイマー〉型認知症と診断された．1年前に妻が亡くなってから1人で暮らしている．日常生活は問題なく送れていたが，最近Aさんは薬を飲み忘れることが増えてきたり，電話の応対ができなかったりすることがあり，日常生活に支障が出るようになった．,その後，Aさんは，コンロの火を消し忘れることや，買い物に行って自宅に戻れないことが何度もあり，在宅での生活が困難になったため，介護老人福祉施設に入所した．Aさんは自分の思い通りにならないときに，大声を出して暴れることがあった．時折落ち着かない様子で施設内を徘徊することがあったが，看護師が話しかけると，立ち止まり「散歩しています」と笑顔で話していた．ある日，Aさんがエレベーター前に1人で立っていたため，看護師がどこへ行くのか尋ねると，Aさんは「家に帰ります」と言った．<br/>このときの看護師の対応として最も適切なのはどれか．,１．「一緒に出かけましょう」としばらく周囲を歩く．,２．「トイレに行きましょう」とトイレに誘導する．,３．「転んだら危ないですよ」と車椅子に誘導する．,４．「入所中なので家には帰れません」と説明する．,,1,<ex>○１　Aさんの「家に帰ります」というニーズに対して，Aさんの思いに共感的・受容的な態度で接し，安心感を与える対応をとることが大切である．</ex><ex>×２　「家に帰ります」というAさんの発言に対する返答になっていないため適切な対応とはいえない．</ex><ex>×３　同上</ex><ex>×４　Aさんの言動を否定する対応は，適切な対応とはいえない．</ex>
110A100,546,認知症総論,Aさん（77歳，男性）は，妻（79歳）と2人暮らし．5年前にAlzheimer〈アルツハイマー〉型認知症と診断された．現在のMMSE〈Mini-mental State Examination〉は18点．家では，食事は準備すれば自分で摂取できる．排泄は尿意や便意ともにあり，トイレで排泄できる．入浴は妻の介助でシャワー浴を行っているが，機嫌が悪いと「うるさい」と怒鳴り，介助を拒否する．Aさんはにぎやかな場所が苦手であり，また，時々1人で外に出て行ってしまい家に帰れなくなることがある．<br/>最近，Aさんが妻の介助を激しく拒否し大声で怒鳴ることが多くなってきたため，妻は介護支援専門員に相談した．相談の結果，妻の介護負担を軽減する目的で，Aさんは通所介護を利用することになった．,通所の初日，Aさんは，初めての場所に戸惑った様子で，施設内を歩き回っている様子がみられた．妻は「夫がデイサービスに慣れるか心配です」と言って，Aさんの様子をみている．<br/>妻への看護師の声かけで最も適切なのはどれか．,１．「Aさんが好きなことをして過ごせるようにします」,２．「入口のドアに鍵をかけてあるので大丈夫です」,３．「毎回，Aさんに付き添ってください」,４．「Aさんには1人で居てもらいます」,,1,"<ex>○１　好きなことができれば穏やかに過ごせることが期待でき，デイサービスにも慣れる可能性が高い．</ex><ex>×２　入口のドアに鍵をかけることは，施設の外に出て迷子になってしまうことは防げるかもしれないが，Aさんの行動を<span class=""bold"">制限</span>することにつながる．デイサービスに慣れるかどうかを心配している妻への声かけとして適切ではない．</ex><ex>×３　妻の介護負担を軽減する目的で開始された通所であり，Aさんの通所に毎回付き添うよう説明することは不適切である．一般に，家族が毎回デイサービスに付き添うということはない．</ex><ex>×４　初めての場所に戸惑っているAさんには，ひとりで居てもらうよりも，スタッフや他のサービス利用者とのかかわりをもつことが望ましい．人とのかかわりは認知症の進行を防ぐために重要であり，デイサービスの<span class=""bold"">メリット</span>でもある．</ex>"
111P098,546,認知症総論,Aさん（82歳，女性）は息子（57歳，会社員）と息子の妻（55歳，パート勤務）との3人暮らし．3年前にAlzheimer〈アルツハイマー〉型認知症と診断され，認知症高齢者の日常生活自立度判定基準Ⅱb，要介護2である．Aさんの介護は，主に息子の妻が行っていた．Aさんは，声かけがあれば日常生活動作〈ADL〉を自分で行うことができた．しかし，Aさんは徐々に認知症が重症化し，1人で外出すると帰ってくることができなくなり，夜間に落ちつきなく動き回ることが多くなった．息子と息子の妻はAさんの介護について介護支援専門員に相談していたが，息子の妻は睡眠不足となり，体調を崩してしまった．そのため，Aさんは介護老人保健施設に入所することになった．,入所した日の夕方，Aさんは自分の荷物をまとめて「夕食を作らなければいけないので，家に帰ります」と施設内を歩いている．<br/>Aさんへの看護師の対応で適切なのはどれか．,１．「他の入所者と話をしましょう」,２．「椅子に座ってお話ししませんか」,３．「入所中なので家には帰れません」,４．「歩くのは危ないのでやめましょう」,,2,<ex>×１　夕食をつくるために家に帰りたいという言動は，認知症の中核症状である見当識障害や記憶障害などによって，自分が今いる場所や，なぜそこにいるのかなどが理解できず，不安や焦燥感，孤独感，恐怖などから気持ちが不安定になっていることが原因と推測される．なじみのないほかの入所者と話すことを促すのは，さらに不安を高める可能性があり，適切な対応ではない．</ex><ex>○２　気持ちが不安定な状態であることから，その気持ちを受け止め，不安や孤独感などが緩和されるようにじっくり話を聞くことが適切な対応である．</ex><ex>×３　否定するような声かけは，本人の不安や混乱をさらに高める．否定せずに，家に帰りたい理由や，今の気持ちを詳しく聞くなど，寄り添う姿勢が重要である．また，理由が明らかになれば，新たな支援につなげることができる可能性がある．</ex><ex>×４　「帰りたい」という思いで施設内を歩いていることから，転倒の危険を理由に行動抑制をする声かけは適切ではない．安全を確保しながら一緒に歩く，適切にコミュニケーションをとるなど，Aさんが施設を安心な場所であると感じ，落ち着けるように支援することが重要である．</ex>
108P050,546,認知症総論,NULL,認知症高齢者との対話で適切なのはどれか．,１．表情を見せながら話す．,２．高齢者の横から話しかける．,３．会話の内容を記憶しているか確認する．,４．言葉が出てこない時は思い出すまで待ち続ける．,,1,<ex>○１　認知症患者では言葉の理解力が低下している．また加齢により聴力低下も認めていることが多く，表情を見せながら話をすることで，相手の理解を促すことが大切である．</ex><ex>×２　高齢者では，加齢による聴力低下により横から話しかけてもうまく聞き取れないことがある．また声が聞こえるだけでは自分が話しかけられていると理解できない場合もあり，正面から相手に向かって話しかけることが大切である．</ex><ex>×３　認知症患者によっては，自分の記憶力低下を自覚し，悩んでいる場合もある．そのような患者に対して会話の内容を記憶しているかを確認すると，不安を強めてしまうこともあり，注意が必要である．</ex><ex>×４　認知症患者では言葉が出るまでに時間がかかったり，会話が中断してしまったりすることがある．その場合は，うまく患者の思いを引き出すように語りかける必要もある．</ex>
110P049,546,認知症総論,NULL,認知症高齢者とのコミュニケーションで適切なのはどれか．,１．説得するように話す．,２．作話があっても話を聞く．,３．一度に多くの情報を伝える．,４．同じ内容を繰り返している場合は会話を終了する．,,2,"<ex>×１　認知症高齢者とのコミュニケーションでは<span class=""bold"">共感</span>が大切である．誘導や強制は行わない．</ex><ex>○２　認知症高齢者とのコミュニケーションでは，<span class=""bold"">傾聴</span>が基本となる．作話があっても，訂正や否定をせず，患者を受け入れるように対応することが望ましい．患者が発した言葉をリフレージング（反復）することで安心感を与えることができ，信頼関係構築につながる．</ex><ex>×３　一度に多くの情報を伝えることは，認知症高齢者を<span class=""bold"">混乱</span>させることにつながる．リフレージングやオープンクエスチョンを用い，一つひとつ確認しながら話を進めていくことが望ましい．</ex><ex>×４　<span class=""bold"">傾聴</span>，<span class=""bold"">共感</span>，<span class=""bold"">受容</span>を基本とし，認知症高齢者が同じことを話す背景を考えることが重要である．</ex>"
105A016,546,認知症総論,NULL,認知症の中核症状はどれか．,１．幻聴,２．抑うつ,３．希死念慮,４．見当識障害,,4,"<ex>×１　幻聴とは，実在しない音（人の声や音楽，騒音など）が聞こえる症状で，<span class=""bold"">統合失調症</span>に多い．</ex><ex>×２　抑うつとは気分が滅入ってしまう症状で，悲哀感，自責感，不眠などをしばしば伴う．認知症では<span class=""bold"">BPSD</span>のひとつとされる．感情障害（うつ病）に多い．</ex><ex>×３　希死念慮とは<span class=""bold"">うつ病</span>に多い症状で，死にたいという気持ちのことをいう．「生きている価値がない」，「申しわけない」などの抑うつが背景にある．</ex><ex>○４　自分の周囲の状況を理解することを<span class=""bold"">見当識</span>といい，その障害は認知症の中核症状である．時間，自分のいる場所，人物を尋ねて検査する．</ex>"
107P080,546,認知症総論,NULL,Aさん（66歳，女性）は，4年前に前頭側頭型認知症と診断され，介護老人福祉施設に入所している．時々，隣の席の人のおやつを食べるため，トラブルになることがある．<br/>この状況で考えられるAさんの症状はどれか．,１．脱抑制,２．記憶障害,３．常同行動,４．自発性の低下,５．物盗られ妄想,1,"<ex>○１　脱抑制では，<span class=""bold"">礼節</span>や<span class=""bold"">社会通念</span>が欠如し，ほかの人からどう思われているかを気にしなくなり，自己本位的な行動や万引き，盗食などの反社会行動を引き起こす．前頭側頭型認知症の代表的な症状のひとつであり，本症例では，隣の人のおやつを食べていることからこれが当てはまる．</ex><ex>×２　前頭側頭型認知症ではアルツハイマー型認知症と異なり，記憶は比較的保たれることが多い．アルツハイマー型認知症では，迷子になる，お金の支払いが困難，同じ質問を繰り返すなどといった<span class=""bold"">記憶症状</span>が出やすい．</ex><ex>×３　毎日決まったコースを散歩する<span class=""bold"">常同的周遊</span>（<span class=""bold"">周徊</span>）や，同じ時間に同じ行動を毎日行う時刻表的な生活などの症状のことである．前頭側頭型認知症の代表的な症状のひとつであるが，本症例ではその症状はみられない．</ex><ex>×４　自己や周囲に対して無関心となり，自発性が低下する症状は，前頭側頭型認知症の初期から認められることが多い．常同行動や落ち着きのなさと共存してみられることが多いが，本症例ではその症状はみられない．</ex><ex>×５　所有物をどこにしまったか思い出せなくなり，そこに誰かに盗まれたという妄想が加わって生じる症状である．盗まれたと訴えるものはお金，財布，通帳など，財産に関係するものが多い．アルツハイマー型認知症に多くみられる．</ex>"
114P116,546,認知症総論,Aさん（65歳，女性）は，夫と2人で暮らしている．友人の死去後，食事量が減り，1か月前から気分の落ち込みが強くなった．夫が積極的に散歩に誘っても，Aさんは「体がだるい」「何をしても意味がない」と話し，寝つきも悪くなり，日中ほとんどの時間を臥床して過ごすようになった．心配した夫に連れられて精神科外来を受診したところ，うつ病と診断され，選択的セロトニン再取り込み阻害薬〈SSRI〉と不眠時の睡眠薬が処方された．夫から精神科外来の看護師に「日常生活で気を付けることはありますか」と質問があった．,Aさんの症状は半年ほどで落ち着き，夫との散歩や料理を楽しみ，特に問題なく過ごせるようになった．精神科受診を終了して1年後，Aさんは再び家にこもりがちになった．夫の話では，急に料理の作り方や人の名前を何度も確認するなど，家事に時間がかかるようになった．Aさんは「何もできないと思っているでしょ」と，ささいなことに怒ったり，急に泣き出すことが増え，夫と一緒に精神科外来を再受診した．<br/>頭部MRI検査の結果，多発性脳梗塞がみられ，血管性認知症と診断された．Aさんは「自分が認知症なんて信じられない．もう治らない」と話した．<br/>Aさんに認められるのはどれか．<goth>2つ選べ．</goth>,１．感情失禁,２．観念奔逸,３．強迫行為,４．心気妄想,５．実行機能障害,"1,5",<ex>○１　感情失禁（情動失禁）はちょっとした刺激に強い感情反応がみられる症状で，Aさんがささいなことに怒る，急に泣きだすのに合致する．血管性認知症でよくみられる．</ex><ex>×２　観念奔逸は多数の思い付きが，どんどんつながって止まらない状態である．躁状態や飲酒酩酊でみられる．</ex><ex>×３　強迫行為は自分では不合理と知りつつも繰り返し浮かんでくる嫌な考え（強迫観念）を打ち消すために繰り返し行われる行為（鍵を閉めたか何度も確認する，何度も手洗いをするなど）である．日常生活に著しい支障を生じる精神症状である．</ex><ex>×４　心気妄想は，病気ではないのに本当は病気だと確信する症状で，うつ病に多い．</ex><ex>○５　実行機能障害（遂行機能障害）は料理や掃除などが手際よくできなくなる認知機能障害で，Aさんが家事に時間がかかるようになったのに合致する．</ex>
106A033,547,アルツハイマー型認知症,NULL,Alzheimer〈アルツハイマー〉病で正しいのはどれか．,１．基礎疾患として高血圧症が多い．,２．初期には記銘力障害はみられない．,３．アミロイドβタンパクが蓄積する．,４．MRI所見では前頭葉の萎縮が特徴的である．,,3,"<ex>×１　アルツハイマー病の危険因子としては，<span class=""bold"">高齢</span>，<span class=""bold"">頭部外傷の既往</span>，<span class=""bold"">アルツハイマー病の家族歴</span>などがある．高血圧症は，アルツハイマー病の危険因子ではないが，脳血管性認知症の危険因子である．</ex><ex>×２　<span class=""bold"">記銘力障害</span>とは，新しいことが覚えられなくなることをいい，アルツハイマー病の初期症状のひとつである．そのため認知症患者の問診では，もの忘れの有無を聞くことが重要である．</ex><ex>○３　アルツハイマー病では，①<span class=""bold"">アミロイドβ蛋白の蓄積</span>により生じる老人斑，②<span class=""bold"">タウ蛋白の蓄積</span>により生じる神経原線維変化の2つの病理学的変化が特徴である．</ex><ex>×４　アルツハイマー病の脳画像所見の特徴は，<span class=""bold"">海馬の萎縮</span>である．進行すると大脳は全般的に萎縮する．</ex>"
111P083,547,アルツハイマー型認知症,NULL,Alzheimer〈アルツハイマー〉病で正しいのはどれか．,１．基礎疾患として高血圧症が多い．,２．アミロイドβタンパクが蓄積する．,３．初期には記銘力障害はみられない．,４．MRI所見では前頭葉の萎縮が特徴的である．,５．脳血流シンチグラフィ所見では頭頂葉の血流増加がある．,2,"<ex>×１　基礎疾患として高血圧が問題となる認知症は，<span class=""bold"">脳血管性認知症</span>である．</ex><ex>○２　アルツハイマー病の病理学的な特徴として，<span class=""bold"">老人斑</span>（<span class=""bold"">アミロイドβ蛋白</span>の蓄積）と<span class=""bold"">神経原線維変化</span>（<span class=""bold"">リン酸化タウ蛋白</span>の蓄積）がある．</ex><ex>×３　アルツハイマー病の中核症状（認知機能障害）には<span class=""bold"">近時記憶障害</span>，<span class=""bold"">見当識障害</span>，失語・失認・失行，実行（遂行）機能障害があり，初期には<span class=""bold"">記銘力</span>の低下がみられる．</ex><ex>×４　アルツハイマー病のMRI検査では，<span class=""bold"">海馬</span>・<span class=""bold"">両側側頭葉内側</span>の萎縮がみられる．前頭葉の萎縮は<span class=""bold"">前頭側頭型認知症</span>の特徴である．</ex><ex>×５　アルツハイマー病患者の脳血流シンチグラフィ検査では脳萎縮や脳機能低下に伴い，<span class=""bold"">側頭葉</span>や<span class=""bold"">頭頂葉</span>の血流低下がみられる．</ex>"
113A097,547,アルツハイマー型認知症,Aさん（72歳，女性）は，1人で暮らしている．小学校の教員を定年退職後，書道教室に月2回，体操教室に月1回通っている．20年前に高血圧症と診断され，月に1回かかりつけの病院を受診し，内服治療をしている．6か月前から，Aさんは病院の受診日を間違えたり，書道教室の日時を忘れることがあり，かかりつけの医師に相談した．Aさんは認知症専門医を紹介され，Mini-Mental State Examination〈MMSE〉18点で，軽度のAlzheimer〈アルツハイマー〉型認知症と診断された．,Aさんに出現している認知機能障害はどれか．,１．脱抑制,２．近時記憶障害,３．実行機能障害,４．物盗られ妄想,,2,"<ex>×１　脱抑制とは，主に前頭葉機能が低下することで周囲を気にせずにわがままな行動をとったり，反社会的な行動をとったりする状態のことをいう．</ex><ex>○２　記憶には短期記憶と長期記憶があり，長期記憶は<span class=""bold"">近時記憶</span>と<span class=""bold"">遠隔記憶</span>に分けられる．<span class=""bold"">短期記憶</span>は秒単位の記憶であり，数分～数日前の新しい出来事の記憶は<span class=""bold"">近時記憶</span>となる．近時記憶障害はアルツハイマー型認知症の初期症状としてみられやすい．</ex><ex>×３　物事を計画的に順序立てて行う能力を<span class=""bold"">実行機能</span>または<span class=""bold"">遂行機能</span>といい，これが障害されると段取りよく家事や仕事を行うことなどが困難となる．</ex><ex>×４　物盗られ妄想は認知症の<span class=""bold"">周辺症状</span>のひとつで，物忘れや判断力の低下のため片づけたものが見つからないことを自分の物忘れのためではなく，他人のせいにして納得しようとすることから生じる行動異常のことである．</ex>"
112A101,550,パーキンソン病,Aさん（75歳，男性）は妻（75歳）と2人暮らしで，15年前にParkinson〈パーキンソン〉病と診断された．7年前よりレボドパ〈L-dopa〉を1日3回内服している．Hoehn & Yahr〈ホーエン・ヤール〉重症度分類のステージⅣで，要介護2である．妻は腰痛のため毎日リハビリテーション目的で通院中である．妻の介護負担を軽減するため，Aさんは毎月10日間，介護老人保健施設の短期入所〈ショートステイ〉を利用している．今回は妻の腰痛が増強したため，Aさんは予定を早めて入所した．Aさんは握力が低下しているが，スプーンを使用し自力で食事を摂取している．食事中に姿勢が崩れることが多く，むせや食べこぼしがある．,Aさんは社交的で短期入所中はいつも介護老人保健施設の利用者や職員と笑顔で会話していたが，今回は，会話中に急に表情がなくなり声が聞きとれないほど小さくなったり，手足の震えが出現することがあった．食後に薬を内服すると症状は改善するが，内服して2時間後には同じような症状が現れることがあった．<br/>Aさんの症状はどれか．,１．オンオフ現象,２．ジスキネジア,３．アナフィラキシー反応,４．ウェアリングオフ現象,,4,"<ex>×１　<span class=""bold"">オンオフ</span>（<span class=""bold"">on-off</span>）<span class=""bold"">現象</span>は服薬とは関係なく症状が変化する状態をいう．急に症状が悪化している記載があるため惑わされるが，内服で症状が改善し，内服2時間後に同じ症状が表れることから服薬に関連して症状が変化していることがわかる．</ex><ex>×２　進行したパーキンソン病では四肢を不随意に大きく動かす<span class=""bold"">ジスキネジア</span>がみられることがある．進行期ではL-ドパの有効治療域が狭くなるため効果が不安定となる．L-ドパの血中濃度が有効治療域を超えるとジスキネジアが出現する．</ex><ex>×３　アナフィラキシー反応はⅠ型アレルギー（即時的アレルギー）の症状が全身に表れた状態で，緊急の場合はアドレナリンの筋肉内注射と，必要に応じ酸素投与，輸液を行う．</ex><ex>○４　<span class=""bold"">ウェアリングオフ</span>（<span class=""bold"">wearing off</span>）<span class=""bold"">現象</span>は進行したパーキンソン病患者にみられる現象で，服薬と関連した症状の変化がみられる．進行に伴いL-ドパの有効治療域が狭くなるため，服薬数時間後にL-ドパ血中濃度が有効治療域を下回ってしまい症状が悪化する．</ex>"
107P112,550,パーキンソン病,Aさん（76歳，女性）．夫（74歳）と2人暮らし．6年前にParkinson〈パーキンソン〉病と診断された．現在，Hoehn-Yahr〈ホーエン・ヤール〉の重症度分類でステージⅢ，要介護1である．トイレと浴室には手すりが設置されている．レボドパ〈L-dopa〉を1日3回内服している．最近，足がすくむことが増えたため受診した．Aさんは主治医から「薬剤の効果を評価するために，服薬時間や生活の状況を日誌に記録しましょう．2週後にまた受診してください」と説明を受けた．,外来看護師が日誌に記録する内容をAさんに指導することになった．<br/>日誌に記録する内容で最も重要なのはどれか．,１．食事の量,２．便の性状,３．振戦の有無,４．排尿の回数,,3,<ex>×１　レボドパは食後に服用することが多いため，その効果が食前に切れると，寡動（動作が緩慢となる症状）が出現することがある．食事の量よりも食事にかかる時間や食事動作がより重要な情報である．</ex><ex>×２　パーキンソン病患者では自律神経症状の便秘がよくみられる．排便のコントロール状況を把握するために必要な情報だが，レボドパの効果の評価には有用ではない．</ex><ex>○３　パーキンソン病の４大症状のひとつである振戦が治療中の患者で悪化した場合，レボドパの効果が低下している状態と考えられる．振戦のほかに，寡動や歩行状態も薬効を判断するときの重要な情報となる．</ex><ex>×４　病期が進行してくるとトイレに行く動作が問題となることが多い．排尿回数は，看護計画には重要な情報であるが，直接的な薬剤の効果を反映するものではない．</ex>
111A115,550,パーキンソン病,Aさん（73歳，女性）は夫（73歳）と2人暮らし．6年前にParkinson〈パーキンソン〉病と診断され，レボドパ〈L-dopa〉を1日3回内服している．Hoehn-Yahr〈ホーエン・ヤール〉重症度分類のステージⅢ，要介護1である．夫が付き添い神経内科外来に月1回，杖歩行で通院している．外来受診のとき，Aさんは足がすくんで転びやすくなったことを主治医に相談し，レボドパ〈L-dopa〉を1日4回に増量して様子を見ることになった．Aさんと夫は薬の副作用〈有害事象〉について外来看護師に尋ねた．,外来看護師がAさんと夫に説明する副作用〈有害事象〉の内容で正しいのはどれか．,１．低血糖,２．体重増加,３．呼吸器症状,４．不随意運動,,4,"<ex>×１　低血糖は，<span class=""bold"">経口血糖下降薬</span>や<span class=""bold"">インスリン</span>の過量投与の副作用としてみられる．</ex><ex>×２　体重増加は，<span class=""bold"">副腎皮質ステロイド</span>長期投与の副作用としてみられる．</ex><ex>×３　喘息発作の誘発といった呼吸器症状は，<span class=""bold"">β遮断薬</span>（<span class=""bold"">降圧薬</span>など）の副作用としてみられる．</ex><ex>○４　不随意運動は，<span class=""bold"">L-ドパ</span>を長期内服している患者で<span class=""bold"">L-ドパ</span>の血中濃度が高まった際に症状が出現する．L-ドパ誘発性ジスキネジアという．</ex>"
111A116,550,パーキンソン病,Aさん（73歳，女性）は夫（73歳）と2人暮らし．6年前にParkinson〈パーキンソン〉病と診断され，レボドパ〈L-dopa〉を1日3回内服している．Hoehn-Yahr〈ホーエン・ヤール〉重症度分類のステージⅢ，要介護1である．夫が付き添い神経内科外来に月1回，杖歩行で通院している．外来受診のとき，Aさんは足がすくんで転びやすくなったことを主治医に相談し，レボドパ〈L-dopa〉を1日4回に増量して様子を見ることになった．Aさんと夫は薬の副作用〈有害事象〉について外来看護師に尋ねた．,1か月後の外来受診のときに，Aさんは「いつもと違う時間に入浴したら転んでしまった．怪我をしなくてよかった」と主治医に話した．主治医から勧められ，Aさんは訪問看護を週に1回利用することになった．<br/>今後Aさんが安全な入浴をするために訪問看護師がアセスメントする内容で最も優先するのはどれか．,１．浴室の床の素材,２．居室から浴室までの距離,３．転倒による打撲痕の状態,４．日常生活動作〈ADL〉の日内変動,,4,"<ex>×１　浴室の床が滑りやすい，居室から浴室までが遠いなどの理由は転倒の原因になり得るが，Aさんはいつもと違う時間に入浴したことで<span class=""bold"">転倒</span>したと感じており，床の素材や歩行距離を原因としてアセスメントする優先度は低い．</ex><ex>×２　同上</ex><ex>×３　転倒による打撲痕の状態を評価することは大切である．しかし，これから安全に入浴するために必要な転倒の原因を推定することはできない．</ex><ex>○４　同量のL-ドパを内服していても，徐々に薬効の減弱が生じることによって出現する症状の日内変動（wearing off現象）や，服用時間と無関係に出現する症状の変動（<span class=""bold"">on-off現象</span>）によって，日常生活活動（ADL）は障害されやすい．それが原因で転倒しやすくなっているのであれば，L-ドパの投与法を再検討する必要があるためアセスメントの優先度が高いといえる．</ex>"
107P113,550,パーキンソン病,Aさん（76歳，女性）．夫（74歳）と2人暮らし．6年前にParkinson〈パーキンソン〉病と診断された．現在，Hoehn-Yahr〈ホーエン・ヤール〉の重症度分類でステージⅢ，要介護1である．トイレと浴室には手すりが設置されている．レボドパ〈L-dopa〉を1日3回内服している．最近，足がすくむことが増えたため受診した．Aさんは主治医から「薬剤の効果を評価するために，服薬時間や生活の状況を日誌に記録しましょう．2週後にまた受診してください」と説明を受けた．,Aさんと夫は，2週後に日誌を持って受診した．レボドパ〈L-dopa〉の処方が1日4回に増量されることになり，病状管理と療養指導のためAさんは週1回の訪問看護を利用することになった．薬剤が増量されてから1週が経過し，足がすくむことが少なくなった．Aさんから「足がすくむようになってから浴槽に入るのをやめていたけれど，入浴しても大丈夫でしょうか」と訪問看護師に相談があった．<br/>Aさんに指導する内容で最も適切なのはどれか．,１．「レボドパが効いている時間に入浴しましょう」,２．「通所介護の入浴を利用しましょう」,３．「訪問入浴介護を利用しましょう」,４．「シャワー浴にしましょう」,,1,<ex>○１　薬剤が増量され，問題となっていたすくみ足の改善が得られている．すくみ足によってできていなかった入浴動作への意欲が出てきており，入浴時の安全性が確保できる薬が効いている時間に入浴を勧めることが大切である．</ex><ex>×２　自宅での入浴において安全性が確保できない状況では，通所介護を利用した入浴を勧めることがある．すくみ足や転倒が問題となっている状況であれば，より介護の手が多い通所先での入浴を勧める．</ex><ex>×３　訪問入浴介護は，簡易型浴槽を居間などに設置し，在宅で入浴のできない寝たきりの患者などに対して行うサービスである．Aさんは要介護1であるため，訪問入浴介護を利用する必要はない．</ex><ex>×４　意識消失や転倒など浴槽に入ることに問題がある状況であれば，その理由を説明しシャワー浴を勧めることもあるが，この状況で入浴を禁止する理由はない．</ex>
109A100,550,パーキンソン病,Aさん（80歳，男性）は，妻（80歳）と2人暮らし．血管性認知症でパーキンソニズムがみられる．認知症高齢者の日常生活自立度判定基準ランクⅡb，要介護2．普段は妻がAさんの身の回りの世話をしているが，妻が入院したため短期入所療養介護のサービスを受けることになった．入所時のAさんは歩行開始困難，加速歩行，すくみ足などの歩行障害がみられた．Aさんは「最近，家の中でつまずくことが多くなりました」と入所中の施設の看護師に話した．,Aさんへの歩行指導で適切なのはどれか．,１．歩行時の方向転換は素早く行うようにする．,２．目線を足元に向けて歩くようにする．,３．足踏みをしてから歩くようにする．,４．歩行時はすり足で歩くようにする．,,3,"<ex>×１　パーキンソニズムを呈する患者は，筋肉のこわばりや動作が遅いことが多く，方向転換が困難である．そのため，方向転換時の動作はゆっくりと行い，曲がり角では大きく曲がるように指導する．</ex><ex>×２　歩行時に目線を足元に向けると背中が曲がり，重心が前方に移動するため姿勢のバランスを崩しやすい．そのため，背筋を伸ばし，顔を正面に向けて遠くの前方を見るように指導する．</ex><ex>○３　<span class=""bold"">すくみ足</span>は，何らかの外部刺激（視覚やリズム）があると改善されることが多い．メトロノームや手拍子でリズムをとったり，声をかけて足踏みをしたりすると1歩目が出やすく歩きやすい．</ex><ex>×４　高齢者はパーキンソニズムの症状である筋肉のこわばりや高齢による筋力（前脛骨筋）の低下により，背屈が困難となり，すり足になりがちである．すり足で歩くと，ちょっとした段差につまずきやすく転倒につながるため，歩行指導の内容として不適切である．</ex>"
112A102,550,パーキンソン病,Aさん（75歳，男性）は妻（75歳）と2人暮らしで，15年前にParkinson〈パーキンソン〉病と診断された．7年前よりレボドパ〈L-dopa〉を1日3回内服している．Hoehn & Yahr〈ホーエン・ヤール〉重症度分類のステージⅣで，要介護2である．妻は腰痛のため毎日リハビリテーション目的で通院中である．妻の介護負担を軽減するため，Aさんは毎月10日間，介護老人保健施設の短期入所〈ショートステイ〉を利用している．今回は妻の腰痛が増強したため，Aさんは予定を早めて入所した．Aさんは握力が低下しているが，スプーンを使用し自力で食事を摂取している．食事中に姿勢が崩れることが多く，むせや食べこぼしがある．,妻の腰痛が改善したため，Aさんは自宅に戻ることになった．Aさんは「妻に負担をかけないように自分で動けるようになりたい．自宅でできる運動や注意することを教えてください」と看護師に話した．<br/>Aさんへの指導で適切なのはどれか．,１．「毎日30分間の階段昇降を行いましょう」,２．「歩行時に腕を大きく振りましょう」,３．「小刻みに歩くようにしましょう」,４．「毎日1km歩きましょう」,,2,"<ex>×１　ホーエン・ヤール重症度分類ステージⅣであり，移動には部分的な介助が必要となる．平地でも転倒しやすい状態であり，階段の昇降は運動としての負担が大きい．</ex><ex>○２　パーキンソン病の四大症状のひとつである<span class=""bold"">無動</span>（<span class=""bold"">寡動</span>）により歩行時の腕の振りがみられなくなることが多い．本人は自覚していないことが多く，歩行を安定させるためにも<span class=""bold"">腕の振り</span>を意識して歩くように指導する．</ex><ex>×３　パーキンソン病の歩行の特徴として，<span class=""bold"">小刻み歩行</span>，<span class=""bold"">すくみ足</span>，<span class=""bold"">加速歩行</span>（<span class=""bold"">突進現象</span>）がある．視覚や聴覚を利用して歩行時のリズムをつくり，身体を大きく動かすことを意識してもらうことが大切である．</ex><ex>×４　パーキンソン病では，症状の進行を可能な限り抑えられるように散歩も大切な運動となるが，自力では歩行が困難なホーエン・ヤール重症度分類ステージⅣであることを考慮すると，毎日1km散歩することは負担が大きい．散歩する際には，家の周囲を介助者と散歩するなどを指導したい．</ex>"
111P029,551,筋萎縮性側索硬化症（ALS）,NULL,上位運動ニューロン徴候および下位運動ニューロン徴候の有無について表に示す．<br/><img1/><br/>筋萎縮性側索硬化症〈ALS〉において正しいのはどれか．,１．a,２．b,３．c,４．d,,1,"<ex>○１　ALSは，①<span class=""bold"">上位運動ニューロン徴候</span>（腱反射亢進など）と②<span class=""bold"">下位運動ニューロン徴候</span>（筋萎縮や筋力低下など）が同時に出現するのを特徴とする．</ex><ex>×２　上位運動ニューロン徴候としては，<span class=""bold"">脳血管障害</span>の<ruby>片<rp>(</rp><rt>へん</rt><rp>)</rp></ruby>麻痺が典型例である．</ex><ex>×３　下位運動ニューロン徴候としては，<span class=""bold"">ギラン・バレー症候群</span>の弛緩性麻痺が典型例である．</ex><ex>×４　上位・下位運動ニューロン徴候がいずれもないため，運動機能に異常はない．</ex>"
